,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
2,Aday,es ESP,DFMF,Girona,30,1987,10,8,645,7.2,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,35,11,40,0,0.28,0.28,0,0.28,0.04,0.21,0.25,0.04,0.25,Matches,5890cef1
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,10.5,2,0,2,0,2,2,5,0,3.3,1.8,0.7,2.5,8,15,57,0.19,0,0.19,0,0,0.32,0.07,0.38,0.17,0.23,Matches,2.93E+06
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,28,27,2389,26.5,1,3,4,1,0,0,6,2,1.1,1.1,2.4,3.5,51,90,136,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.13,0.04,0.13,Matches,cacadf4f
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,2032,22.6,0,0,0,0,0,0,4,0,0,0,0.5,0.5,36,89,56,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,355c883a
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,8,21,2,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches,18dc8533
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,13,12,1023,11.4,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,33,34,28,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches,f2a68b97
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,2,0,1,1,0,0,0,0,0,0,0,0.1,0.1,5,7,9,0,0.5,0.5,0,0.5,0,0.03,0.03,0,0.03,Matches,06efa9dc
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,36,32,2991,33.2,2,8,10,2,0,0,6,0,1.8,1.8,6.7,8.5,63,207,372,0.06,0.24,0.3,0.06,0.3,0.05,0.2,0.25,0.05,0.25,Matches,4.60E+197
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,25,20,1868,20.8,1,1,2,1,0,0,9,0,1,1,0.6,1.6,13,47,3,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,Matches,ba71d071
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,34,34,2976,33.1,3,2,5,3,0,1,13,0,3.5,2.7,0.9,3.6,45,181,21,0.09,0.06,0.15,0.09,0.15,0.1,0.03,0.13,0.08,0.11,Matches,036bba5f
